================ Training Loss (Mon Dec  1 19:21:04 2025) ================
================ Training Loss (Mon Dec  1 19:21:52 2025) ================
[Rank 0] (epoch: 8, iters: 680, time: 0.136, data: 0.005) , D_A: 0.239, G_A: 0.279, cycle_A: 0.040, idt_A: 0.029, D_B: 0.250, G_B: 0.255, cycle_B: 0.072, idt_B: 0.016

[Rank 0] (epoch: 8, iters: 880, time: 0.136, data: 0.005) , D_A: 0.274, G_A: 0.241, cycle_A: 0.054, idt_A: 0.032, D_B: 0.250, G_B: 0.242, cycle_B: 0.077, idt_B: 0.022

[Rank 0] (epoch: 8, iters: 1080, time: 0.136, data: 0.005) , D_A: 0.253, G_A: 0.259, cycle_A: 0.045, idt_A: 0.027, D_B: 0.250, G_B: 0.263, cycle_B: 0.072, idt_B: 0.016

[Rank 0] (epoch: 8, iters: 1280, time: 0.136, data: 0.005) , D_A: 0.245, G_A: 0.250, cycle_A: 0.040, idt_A: 0.024, D_B: 0.251, G_B: 0.235, cycle_B: 0.058, idt_B: 0.018

[Rank 0] (epoch: 8, iters: 1480, time: 0.136, data: 0.004) , D_A: 0.242, G_A: 0.239, cycle_A: 0.041, idt_A: 0.026, D_B: 0.252, G_B: 0.269, cycle_B: 0.072, idt_B: 0.016

[Rank 0] (epoch: 8, iters: 1680, time: 0.135, data: 0.005) , D_A: 0.249, G_A: 0.299, cycle_A: 0.044, idt_A: 0.022, D_B: 0.253, G_B: 0.254, cycle_B: 0.062, idt_B: 0.020

[Rank 0] (epoch: 8, iters: 1880, time: 0.136, data: 0.005) , D_A: 0.353, G_A: 0.298, cycle_A: 0.048, idt_A: 0.033, D_B: 0.255, G_B: 0.282, cycle_B: 0.077, idt_B: 0.017

[Rank 0] (epoch: 9, iters: 120, time: 0.135, data: 0.005) , D_A: 0.247, G_A: 0.255, cycle_A: 0.040, idt_A: 0.024, D_B: 0.250, G_B: 0.250, cycle_B: 0.065, idt_B: 0.015

[Rank 0] (epoch: 9, iters: 320, time: 0.151, data: 0.005) , D_A: 0.279, G_A: 0.243, cycle_A: 0.042, idt_A: 0.024, D_B: 0.251, G_B: 0.238, cycle_B: 0.067, idt_B: 0.016

[Rank 0] (epoch: 9, iters: 520, time: 0.136, data: 0.005) , D_A: 0.242, G_A: 0.255, cycle_A: 0.055, idt_A: 0.026, D_B: 0.250, G_B: 0.256, cycle_B: 0.070, idt_B: 0.022

[Rank 0] (epoch: 9, iters: 720, time: 0.136, data: 0.005) , D_A: 0.258, G_A: 0.341, cycle_A: 0.042, idt_A: 0.028, D_B: 0.255, G_B: 0.287, cycle_B: 0.078, idt_B: 0.016

[Rank 0] (epoch: 9, iters: 920, time: 0.136, data: 0.005) , D_A: 0.242, G_A: 0.251, cycle_A: 0.037, idt_A: 0.023, D_B: 0.254, G_B: 0.224, cycle_B: 0.066, idt_B: 0.016

[Rank 0] (epoch: 9, iters: 1120, time: 0.136, data: 0.005) , D_A: 0.243, G_A: 0.223, cycle_A: 0.044, idt_A: 0.027, D_B: 0.250, G_B: 0.264, cycle_B: 0.064, idt_B: 0.020

[Rank 0] (epoch: 9, iters: 1320, time: 0.135, data: 0.005) , D_A: 0.241, G_A: 0.260, cycle_A: 0.039, idt_A: 0.025, D_B: 0.254, G_B: 0.223, cycle_B: 0.066, idt_B: 0.016

[Rank 0] (epoch: 9, iters: 1520, time: 0.135, data: 0.005) , D_A: 0.234, G_A: 0.279, cycle_A: 0.048, idt_A: 0.024, D_B: 0.250, G_B: 0.271, cycle_B: 0.064, idt_B: 0.020

[Rank 0] (epoch: 9, iters: 1720, time: 0.135, data: 0.005) , D_A: 0.243, G_A: 0.236, cycle_A: 0.039, idt_A: 0.025, D_B: 0.262, G_B: 0.257, cycle_B: 0.061, idt_B: 0.016

[Rank 0] (epoch: 9, iters: 1920, time: 0.136, data: 0.005) , D_A: 0.233, G_A: 0.283, cycle_A: 0.048, idt_A: 0.027, D_B: 0.267, G_B: 0.195, cycle_B: 0.072, idt_B: 0.019

[Rank 0] (epoch: 10, iters: 160, time: 0.136, data: 0.005) , D_A: 0.236, G_A: 0.304, cycle_A: 0.037, idt_A: 0.025, D_B: 0.251, G_B: 0.242, cycle_B: 0.065, idt_B: 0.013

[Rank 0] (epoch: 10, iters: 360, time: 0.174, data: 0.005) , D_A: 5.068, G_A: 5.454, cycle_A: 0.052, idt_A: 0.039, D_B: 0.249, G_B: 0.252, cycle_B: 0.093, idt_B: 0.017

[Rank 0] (epoch: 10, iters: 560, time: 0.135, data: 0.004) , D_A: 0.255, G_A: 0.214, cycle_A: 0.911, idt_A: 0.265, D_B: 0.304, G_B: 0.303, cycle_B: 0.707, idt_B: 0.476

[Rank 0] (epoch: 10, iters: 760, time: 0.136, data: 0.005) , D_A: 0.249, G_A: 0.249, cycle_A: 0.111, idt_A: 0.191, D_B: 0.237, G_B: 0.243, cycle_B: 0.493, idt_B: 0.046

[Rank 0] (epoch: 10, iters: 960, time: 0.135, data: 0.005) , D_A: 0.249, G_A: 0.247, cycle_A: 0.086, idt_A: 0.202, D_B: 0.237, G_B: 0.257, cycle_B: 0.245, idt_B: 0.039

[Rank 0] (epoch: 10, iters: 1160, time: 0.135, data: 0.005) , D_A: 0.249, G_A: 0.250, cycle_A: 0.089, idt_A: 0.069, D_B: 0.251, G_B: 0.237, cycle_B: 0.176, idt_B: 0.036

[Rank 0] (epoch: 10, iters: 1360, time: 0.135, data: 0.005) , D_A: 0.250, G_A: 0.253, cycle_A: 0.087, idt_A: 0.084, D_B: 0.249, G_B: 0.247, cycle_B: 0.190, idt_B: 0.031

[Rank 0] (epoch: 10, iters: 1560, time: 0.136, data: 0.005) , D_A: 0.250, G_A: 0.250, cycle_A: 0.062, idt_A: 0.060, D_B: 0.248, G_B: 0.258, cycle_B: 0.143, idt_B: 0.029

[Rank 0] (epoch: 10, iters: 1760, time: 0.135, data: 0.005) , D_A: 0.250, G_A: 0.251, cycle_A: 0.056, idt_A: 0.054, D_B: 0.247, G_B: 0.251, cycle_B: 0.119, idt_B: 0.024

[Rank 0] (epoch: 10, iters: 1960, time: 0.135, data: 0.005) , D_A: 0.250, G_A: 0.250, cycle_A: 0.052, idt_A: 0.053, D_B: 0.248, G_B: 0.244, cycle_B: 0.124, idt_B: 0.023

[Rank 0] (epoch: 11, iters: 200, time: 0.135, data: 0.161) , D_A: 0.250, G_A: 0.251, cycle_A: 0.053, idt_A: 0.050, D_B: 0.249, G_B: 0.274, cycle_B: 0.118, idt_B: 0.023

[Rank 0] (epoch: 11, iters: 400, time: 0.150, data: 0.005) , D_A: 0.249, G_A: 0.251, cycle_A: 0.054, idt_A: 0.044, D_B: 0.249, G_B: 0.242, cycle_B: 0.102, idt_B: 0.022

[Rank 0] (epoch: 11, iters: 600, time: 0.136, data: 0.004) , D_A: 0.250, G_A: 0.251, cycle_A: 0.060, idt_A: 0.048, D_B: 0.247, G_B: 0.272, cycle_B: 0.116, idt_B: 0.024

[Rank 0] (epoch: 11, iters: 800, time: 0.135, data: 0.005) , D_A: 0.249, G_A: 0.251, cycle_A: 0.059, idt_A: 0.046, D_B: 0.247, G_B: 0.245, cycle_B: 0.107, idt_B: 0.026

[Rank 0] (epoch: 11, iters: 1000, time: 0.135, data: 0.005) , D_A: 0.249, G_A: 0.251, cycle_A: 0.054, idt_A: 0.041, D_B: 0.247, G_B: 0.272, cycle_B: 0.098, idt_B: 0.023

[Rank 0] (epoch: 11, iters: 1200, time: 0.135, data: 0.005) , D_A: 0.249, G_A: 0.251, cycle_A: 0.068, idt_A: 0.044, D_B: 0.249, G_B: 0.233, cycle_B: 0.111, idt_B: 0.030

[Rank 0] (epoch: 11, iters: 1400, time: 0.136, data: 0.005) , D_A: 0.249, G_A: 0.252, cycle_A: 0.054, idt_A: 0.037, D_B: 0.246, G_B: 0.283, cycle_B: 0.089, idt_B: 0.024

[Rank 0] (epoch: 11, iters: 1600, time: 0.136, data: 0.005) , D_A: 0.248, G_A: 0.252, cycle_A: 0.049, idt_A: 0.036, D_B: 0.242, G_B: 0.266, cycle_B: 0.091, idt_B: 0.023

[Rank 0] (epoch: 11, iters: 1800, time: 0.136, data: 0.005) , D_A: 0.249, G_A: 0.250, cycle_A: 0.042, idt_A: 0.036, D_B: 0.242, G_B: 0.252, cycle_B: 0.089, idt_B: 0.018

[Rank 0] (epoch: 12, iters: 40, time: 0.151, data: 0.005) , D_A: 0.248, G_A: 0.253, cycle_A: 0.051, idt_A: 0.035, D_B: 0.256, G_B: 0.318, cycle_B: 0.093, idt_B: 0.023

[Rank 0] (epoch: 12, iters: 240, time: 0.136, data: 0.005) , D_A: 0.248, G_A: 0.251, cycle_A: 0.048, idt_A: 0.038, D_B: 0.245, G_B: 0.273, cycle_B: 0.095, idt_B: 0.022

[Rank 0] (epoch: 12, iters: 440, time: 0.154, data: 0.005) , D_A: 0.248, G_A: 0.250, cycle_A: 0.046, idt_A: 0.033, D_B: 0.242, G_B: 0.268, cycle_B: 0.087, idt_B: 0.022

[Rank 0] (epoch: 12, iters: 640, time: 0.136, data: 0.005) , D_A: 0.248, G_A: 0.248, cycle_A: 0.043, idt_A: 0.032, D_B: 0.247, G_B: 0.294, cycle_B: 0.084, idt_B: 0.021

[Rank 0] (epoch: 12, iters: 840, time: 0.136, data: 0.005) , D_A: 0.251, G_A: 0.266, cycle_A: 0.052, idt_A: 0.041, D_B: 0.249, G_B: 0.235, cycle_B: 0.120, idt_B: 0.023

[Rank 0] (epoch: 12, iters: 1040, time: 0.136, data: 0.005) , D_A: 0.248, G_A: 0.251, cycle_A: 0.046, idt_A: 0.032, D_B: 0.253, G_B: 0.297, cycle_B: 0.098, idt_B: 0.022

[Rank 0] (epoch: 12, iters: 1240, time: 0.135, data: 0.005) , D_A: 0.247, G_A: 0.254, cycle_A: 0.060, idt_A: 0.038, D_B: 0.248, G_B: 0.243, cycle_B: 0.105, idt_B: 0.028

[Rank 0] (epoch: 12, iters: 1440, time: 0.136, data: 0.005) , D_A: 0.249, G_A: 0.260, cycle_A: 0.054, idt_A: 0.033, D_B: 0.249, G_B: 0.280, cycle_B: 0.096, idt_B: 0.026

[Rank 0] (epoch: 12, iters: 1640, time: 0.135, data: 0.005) , D_A: 0.249, G_A: 0.250, cycle_A: 0.045, idt_A: 0.030, D_B: 0.252, G_B: 0.239, cycle_B: 0.087, idt_B: 0.021

[Rank 0] (epoch: 12, iters: 1840, time: 0.136, data: 0.005) , D_A: 0.251, G_A: 0.263, cycle_A: 0.042, idt_A: 0.028, D_B: 0.249, G_B: 0.266, cycle_B: 0.081, idt_B: 0.022

[Rank 0] (epoch: 13, iters: 80, time: 0.151, data: 0.005) , D_A: 0.251, G_A: 0.245, cycle_A: 0.045, idt_A: 0.031, D_B: 0.256, G_B: 0.233, cycle_B: 0.089, idt_B: 0.021

